id;address;coordinate;description;title;category_id;url
57;Нижний Новгород, Нижне-Волжская набережная;POINT (44.003277 56.331576);"<p>Памятник Петру 1 открыт 24 сентября 2014 года. Он установлен напротив Зачатьевской башни Нижегородского кремля. Авторы работы — известные нижегородские скульпторы Алексей Щитов и архитектор Сергей Шорохов. Высота бронзовой статуи — 3,7 метра, гранитного постамента — 3 метра.
<br>
<br>Памятник Петру 1 представлен в виде стоящей фигуры императора. Он стоит спиной к Кремлю, его взгляд устремлен на широкие волжские просторы. Левая рука царя откинута назад, а в правой он держит свое постановление 1714 года: «Нижегородской губернии быть особо».
<br>
<br>Скульптура установлена в память о посещении Нижнего Новгорода царской особой. Первый раз Петр1 заезжал в город в 1695 году по пути в Азов. Он разместился в доме, сегодня известном как «Домик Петра». Второй раз император приезжал в город в 1722 году при походе на Персию. Он приказал построить верфь, для создания кораблей нового типа, а также отметил 30 мая свой 50-летний юбилей. <br></p>";Памятник Петру 1;1;
51;Нижний Новгород, Суетинская улица;POINT (43.983546 56.32448);Памятник великому русскому писателю Максиму Горькому установлен на набережной Федоровского. Бронзовый монумент выполнен в виде фигуры писателя, сидящего на камне и опирающегося на свою любимую трость. Писатель выглядит задумчивым, он словно любуется раскинувшимся перед ним прекрасным пейзажем на слиянии двух великих рек Оки и Волги и размышляет о судьбе русского народа. Памятника выполнил в 1957 году скульптор Иван Шмагун. Монумент несколько раз менял место своего расположения. Более 10 лет он провел в Зеленом городе перед Домом учителя. На набережную Федоровского он переехал лишь в 1972 году.;Памятник Максиму Горькому;1;
55;Нижний Новгород, Окская набережная;POINT (43.97481 56.335607);"<p>Две реплики Шуховской башни находятся на территории Стрелки недалеко от Пакгаузов. Высокие металлические конструкции являются копиями уникального сооружения инженера Владимира Шухов, установленного под Дзержинском на левом берегу Оке. Оригинальная Шуховская башня — гиперболоидная многосекционная опора линии электропередачи, выполненная в виде несущей сетчатой оболочки. На данный момент В Нижегородской области осталась одна из шести конструкций.
<br>
<br>Второй гиперболоид — Шуховская телебашня на Шаболовке в Москве. Шуховская башня на Оке построена через семь лет после башни на Шаболовке и признаётся специалистами более совершенной. <br></p>";Имитация Шуховских башен;1;
122;Нижний Новгород, площадь Максима Горького;POINT (43.990747 56.313472);Памятник Максиму Горькому в Нижнем Новгороде, находящийся в сквере на площади Горького, был открыт 2 ноября 1952 года. Семиметровая бронзовая фигура Горького создана скульптором В. И. Мухиной, архитектурное решение принадлежит В. В. Лебедеву и П. П. Штеллеру. Скульптура отлита на Ленинградском заводе «Монументскульптура». Фигура Горького, высоко поднятая над площадью, установлена на четырехгранном постаменте, словно «вырастающем» из гранитной скалы. Вера Мухина создала образ молодого Горького в период его жизни в родном Нижнем Новгороде, именно в этот период он пишет знаменитую «Песню о Буревестнике».;Памятник Максиму Горькому;1;
123;Нижний Новгород, Большая Покровская улица;POINT (44.002696 56.324157);"Памятник Козе-Дерезе (другое название — «веселая коза») появился на Большой Покровской в 2005 году, в то же время, что и другие скульптуры, изображающих жителей Нижнего Новгорода конца XIX века.
<br>Располагается это смешное и забавное изваяние на Театральной площади, и отнюдь не случайно — именно здесь с 1993 года проводится всероссийский фестиваль, эмблемой которого и является «веселая коза».";Памятник Козе-Дерезе;1;
124;Нижний Новгород, Большая Покровская улица;POINT (43.994177 56.316436);"Памятник Почтальону входит в серию скульптур, изображающих жителей Нижнего Новгорода конца XIX века. Установлен 10 сентября 2006 года и находится в самом конце пешеходной зоны по улице Большая Покровская.
<br>Местоположение памятника не случайно - он стоит в непосредственной близости от главного почтамта, где много лет назад находился ямской двор, являвшийся предшественником государственной почты. <br>";Памятник Почтальону;1;
125;Нижний Новгород, Большая Покровская улица;POINT (44.001879 56.32377);"На Большой Покровской улице в Нижнем Новгороде на самой обычной лавочке скромно сидит неприметный человек, как будто только что вышедший из Нижегородского драматического театра и присевший на скамейку отдохнуть. Тем не менее, имя этого человека известно всем в нашей стране — это памятник великому актеру Евгению Александровичу Евстигнееву.
<br>Как это часто бывает, и место, и время установки памятника не случайны. Он был торжественно открыт в сентябре 2006 года ко дню 80-летия артиста, в городе, где он родился, окончил театральное училище и начал сценическую карьеру. Автор памятника — скульптор Владимир Полянский.";Памятник Евгению Евстигнееву;1;
127;Нижний Новгород, Рождественская улица;POINT (43.99687 56.329867);Проект памятника Минину и Пожарскому был разработан еще в начале XIX века И.П. Мартосом, был объявлен сбор средств, но, когда набралась необходимая сумма, Комитет министров неожиданно принял решение установить этот памятник в Москве перед храмом Василия Блаженного, в Нижнем Новгороде же вместо этого был установлен обелиск. Историческая справедливость была восстановлена спустя почти два века – по инициативе московского мэра Лужкова скульптор Зураб Церетели создал точную уменьшенную копию этого памятника.;Памятник Минину и Пожарскому;1;
129;Нижний Новгород, Канавинский район;POINT (43.94595 56.311066);"Рядом с Дворцом культуры железнодорожников находится необычный памятник — памятник бронепоезду «Козьма Минин».
<br>Судьба железной дороги тесно связана с судьбой страны. В годы Великой Отечественной войны, когда враг стоял у ворот Москвы, рабочие Горьковской железной дороги на собранные средства, в свободное от основной работы время трудятся над бронепоездом. И, вспомнив в трудную минуту о «спасителе Отечества», дают ему имя «Козьма Минин».<br>";Памятник бронепоезду «Козьма Минин»;1;
145;г. Нижний Новгород, станция метро «Заречная»;POINT (43.927694 56.284257);Авторы мозаики — Татьяна и Валерий Гришины. Была создана в 1985 году. Входит в реестр произведений советского монументально-декоративного искусства Нижегородской области;Керамическое панно «Град Китеж»;10;
130;Нижний Новгород, улица Стрелка;POINT (43.972417 56.333265);"Торжественное открытие памятника состоялось в августе 2021 года в преддверии празднования 800-ти летия города.
<br>Место установки и эскиз монумента выбирали сами нижегородцы — в голосовании приняли участие почти 10 тысяч человек. Это первый конный памятник в Нижнем Новгороде. Его общая высота составляет 13 метров, а высота самой скульптуры — шесть метров.
<br>Монумент выполнен по эскизу команды специалистов под руководством скульптора, народного художника РФ Андрея Ковальчука. <br>";Памятник Александру Невскому;1;
53;Нижний Новгород, историческая территория Старый Нижний Новгород;POINT (44.012111 56.332166);Серебристый олень расположен недалеко от катера «Герой». Этот блестящий красавец установлен в знак дружбы российского и венгерского народов в 2014 году и является подарком города-побратима Дьёр. Скульптура оленя — работа венгерского скульптора Габора Миклоша Жоке, она выполнена в оригинальной технике из металлических пластинок, ее высота — 5 метров. Олень для Нижнего Новгорода — особый символ, он изображен на гербе города.;Олень;1;
